"a_in","a_out","b_in","b_out","num_common_outbound_neighbours","num_common_inbound_neighbours","num_common_a_out_b_in_neighbours","b_to_a_exists","mutual_following_a"
15,47,379,363,17,6,8,1,13
1,0,1,0,0,0,0,0,0
420,6230,1,0,0,0,0,0,419
98,31,30,0,0,11,3,0,9
26,1024,1,0,0,0,0,0,19
23,892,2,0,0,0,0,0,18
21,355,4,0,0,1,0,0,20
10,30,1,0,0,0,0,0,7
34,19,21,0,0,8,8,0,9
10,17,4,14,6,3,1,1,5
1,0,1,0,0,0,0,0,0
302,674,2,0,0,0,0,0,111
2,299,176,0,0,1,16,0,1
77,1013,1,0,0,0,0,0,72
118,126,38,0,0,0,0,0,15
1,0,1,0,0,0,0,0,0
156,1195,118,0,0,26,25,0,111
56,176,3,0,0,0,0,0,42
3,0,3,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
10,302,1,0,0,0,0,0,7
2,0,1,0,0,0,0,0,0
38,181,194,0,0,4,4,0,32
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
161,240,682,628,52,23,33,0,23
19,268,1,0,0,0,0,0,1
6,30,1,0,0,0,0,0,6
82,311,40,0,0,4,0,0,32
92,1053,9,0,0,4,4,0,73
49,129,3,0,0,0,0,0,10
4,21,1,0,0,0,0,0,1
272,210,279,447,49,91,45,1,56
7,26,12,0,0,3,3,0,2
49,732,2,0,0,0,0,0,48
1,0,1,0,0,0,0,0,0
70,1522,1,0,0,0,0,0,65
2,0,1,0,0,0,0,0,0
51,299,70,965,10,3,2,1,27
4,0,1,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
16,87,4,0,0,0,0,0,11
6,70,3,0,0,2,2,0,3
1,0,1,0,0,1,0,0,0
1197,59461,39,0,0,30,31,0,987
259,3744,3,0,0,0,0,0,244
25,194,2,0,0,0,0,0,16
16,0,1,0,0,0,0,0,0
3,31,3,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0
147,238,243,475,74,58,42,1,73
125,2422,47,0,0,20,21,0,119
49,340,35,0,0,0,1,0,30
4,0,3,0,0,0,0,0,0
63,6,13,0,0,0,0,0,2
221,751,1,0,0,0,0,0,101
8,113,2,0,0,1,1,0,6
151,1333,1,0,0,0,0,0,138
2,0,6,0,0,0,0,0,0
9,127,26,0,0,0,0,0,3
1,0,16,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0
1,0,26,0,0,0,0,0,0
11,79,632,1257,7,2,2,0,8
65,3,2,0,0,0,0,0,1
28,31,3,0,0,0,1,0,3
24,135,3,0,0,0,0,0,17
1,0,1,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0
9,256,2,0,0,0,0,0,6
7,33,4,65,10,3,3,1,7
56,257,111,66,34,29,34,0,43
1,0,1,0,0,1,0,0,0
3,22,2,15,8,1,1,1,3
1,0,1,0,0,0,0,0,0
3,0,6,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
22,115,37,145,30,18,15,1,15
3,50,2,0,0,0,1,0,2
1,0,1,0,0,0,0,0,0
37,245,101,0,0,4,2,0,21
80,683,232,0,0,25,25,0,73
9,98,1,0,0,0,0,0,3
61,6,9,0,0,0,0,0,0
8,115,10,0,0,0,0,0,7
26,112,1,0,0,0,0,0,13
484,4655,6,0,0,4,4,0,402
10,181,826,73,0,3,3,0,9
8,12,11,0,0,0,0,0,8
3,41,8,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
1,0,38,0,0,0,0,0,0
3,4,1,0,0,0,0,0,1
3,0,1,0,0,0,0,0,0
16,388,1,0,0,0,0,0,10
32,377,1,0,0,0,0,0,25
1,0,1,0,0,0,0,0,0
5,9,10,0,0,0,0,0,1
1,0,66,0,0,0,0,0,0
6,79,25,0,0,1,1,0,4
15,113,2,0,0,1,1,0,14
50,394,27,0,0,2,2,0,31
22,0,8,0,0,1,0,0,0
1,9,920,238,0,0,0,0,1
216,4336,1,0,0,0,0,0,206
1,0,1,0,0,0,0,0,0
32,115,12,0,0,0,2,0,18
13,71,31,0,0,0,0,0,11
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
297,158,54,152,38,31,20,1,71
148,829,1,0,0,0,0,0,129
1,0,136,0,0,0,0,0,0
46,116,11,0,0,3,4,0,16
180,445,95,1002,42,17,11,1,86
49,186,1,0,0,0,0,0,41
493,27310,191,0,0,88,88,0,484
450,98554,2,0,0,0,0,0,417
114,114,15,0,0,5,3,0,15
1,0,2,0,0,0,0,0,0
43,320,7,0,0,0,0,0,40
180,1634,431,281,38,38,57,0,147
220,155,87,101,34,61,40,0,82
43,461,1,0,0,1,1,0,34
21,174,19,0,0,0,1,0,13
6,18,107,0,0,2,1,0,1
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
6,61,596,0,0,0,2,0,3
34,175,1,0,0,0,0,0,9
1,3,1,0,0,0,0,0,1
69,182,1,0,0,0,0,0,43
3,0,1,0,0,0,0,0,0
2,5,1,0,0,0,0,0,2
7,124,4,0,0,0,0,0,2
73,335,421,0,0,5,12,0,45
3,3,1,0,0,0,0,0,1
2,51,24,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0
42,1086,44,0,0,8,8,0,40
5,18,84,493,4,2,3,1,5
5,0,2,0,0,2,0,0,0
33,444,24,0,0,1,1,0,30
20,0,6,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
5,60,5,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0
94,577,101,0,0,40,30,0,58
5,52,3,0,0,0,1,0,4
2,0,1,0,0,0,0,0,0
319,4662,257,0,0,51,77,0,288
5,0,1,0,0,0,0,0,0
86,319,1,0,0,0,0,0,40
43,181,2,0,0,0,0,0,39
97,60,6,0,0,0,0,0,3
16,3,1,0,0,0,0,0,2
97,2967,1042,0,0,21,21,0,95
184,6404,175,0,0,55,27,0,102
36,178,1,0,0,0,0,0,32
23,223,55,481,9,5,3,1,18
61,408,175,774,39,19,33,0,45
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
23,155,4,0,0,1,1,0,20
1,0,1,0,0,0,0,0,0
14,242,1,0,0,0,0,0,13
11,0,1,0,0,0,0,0,0
27,159,1,0,0,0,0,0,13
1,0,3,0,0,0,0,0,0
27,503,8,0,0,1,1,0,23
75,661,32,0,0,2,2,0,73
48,1491,67,1169,104,12,14,1,47
44,989,2,0,0,0,0,0,37
390,3571,3,0,0,2,2,0,312
114,317,155,0,0,16,15,0,87
2,20,7,0,0,0,0,0,2
173,630,6,0,0,2,1,0,133
28,141,205,0,0,14,13,0,19
39,83,11,0,0,10,10,0,29
45,80,11,0,0,2,2,0,26
351,547,6,0,0,0,0,0,99
65,176,1,0,0,0,0,0,31
1,0,4,0,0,0,0,0,0
52,144,2,0,0,0,0,0,31
45,997,14,0,0,1,2,0,45
1,0,7,0,0,0,0,0,0
3,14,298,0,0,0,0,0,3
1,0,1,0,0,0,0,0,0
71,1097,21,0,0,3,3,0,25
1,0,1,0,0,0,0,0,0
205,117,611,933,16,103,29,0,22
93,836,9,0,0,0,0,0,93
3,30,3,0,0,0,0,0,1
132,434,1,0,0,0,0,0,71
77,2899,89,0,0,53,60,0,69
18,106,1,0,0,0,0,0,16
134,337,315,0,0,30,14,0,77
1,0,1,0,0,0,0,0,0
59,1636,6,0,0,2,1,0,45
19,147,7,0,0,0,0,0,11
8,37,6,0,0,1,1,0,6
142,2383,3,0,0,2,2,0,56
1,0,1,0,0,0,0,0,0
69,504,3,0,0,0,0,0,38
2,0,1,0,0,0,0,0,0
7,77,32,0,0,3,1,0,2
1,0,21,0,0,0,0,0,0
20,195,31,0,0,4,5,0,13
15,131,3,0,0,0,0,0,6
52,394,1,0,0,0,0,0,41
3,26,1,0,0,0,0,0,2
2,0,1,0,0,0,0,0,0
35,122,1,0,0,0,0,0,22
10,71,61,0,0,0,0,0,7
37,539,24,0,0,2,0,0,19
507,2074,2,0,0,1,1,0,471
5,73,2,0,0,0,0,0,2
65,357,1,0,0,0,0,0,39
36,230,25,0,0,1,1,0,32
10,52,111,0,0,4,6,0,9
289,4617,10,0,0,1,1,0,277
26,69,2,0,0,0,0,0,13
3,75,1,0,0,0,0,0,3
12,118,361,40,7,0,15,0,6
198,561,27,0,0,4,1,0,15
5,46,1353,0,0,1,4,0,0
1,0,1,0,0,0,0,0,0
119,10,77,0,0,30,4,0,4
34,164,18,0,0,5,4,0,16
2,0,1,0,0,1,0,0,0
90,880,159,0,0,7,7,0,48
16,262,1,0,0,0,0,0,9
15,815,12,0,0,0,0,0,3
26,75,12,44,0,0,0,0,9
80,153,72,73,34,23,23,1,37
32,319,2,0,0,0,0,0,24
2,0,1,0,0,0,0,0,0
1,0,7,0,0,0,0,0,0
128,1989,1,0,0,0,0,0,105
54,614,2,0,0,1,1,0,37
24,59,561,42,3,2,4,0,10
1,0,1,0,0,0,0,0,0
32,73,32,0,0,4,0,0,6
3,0,1,0,0,0,0,0,0
108,1328,275,0,0,5,8,0,105
24,0,1,0,0,0,0,0,0
8,99,2,0,0,0,0,0,1
1,0,3,0,0,0,0,0,0
174,816,46,0,0,21,22,0,168
4,42,2921,163,4,1,3,0,1
1,10,1,0,0,0,0,0,0
41,340,1,0,0,0,0,0,26
5,0,3,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
2,78,2,0,0,0,0,0,1
111,1004,551,3410,73,31,30,1,91
2,3,1,0,0,0,0,0,1
49,1273,1,0,0,0,0,0,49
220,123,44,0,0,29,12,0,18
20,34,7,0,0,2,3,0,6
77,1411,1,0,0,0,0,0,69
1,0,1,0,0,0,0,0,0
13,2,24,190,1,6,1,1,1
15,46,15,40,29,11,12,1,13
61,0,1,0,0,0,0,0,0
38,1986,267,0,0,15,17,0,31
5,0,1,0,0,0,0,0,0
68,3239,65,0,0,8,9,0,39
1,0,1,0,0,0,0,0,0
54,188,1,0,0,0,0,0,47
37,76,107,261,45,18,18,1,23
7,47,1,0,0,0,0,0,7
360,1792,1,0,0,0,0,0,199
1,0,1,0,0,0,0,0,0
24,122,141,94,22,8,17,1,14
77,550,755,82,6,44,27,0,31
50,268,578,1448,19,17,19,0,43
43,116,621,272,23,22,28,0,26
6,0,17,0,0,0,0,0,0
33,98,20,0,0,0,0,0,18
145,4279,2,0,0,2,2,0,135
706,43350,39,0,0,11,1,0,422
49,83,624,1274,14,20,12,1,16
48,121,48,0,0,0,2,0,14
68,1084,1,0,0,0,0,0,56
26,107,2,0,0,1,1,0,25
670,10236,4,0,0,0,0,0,657
2,71,1,0,0,0,0,0,1
57,139,2,0,0,0,0,0,35
20,57,2,0,0,0,0,0,8
12,229,2,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0
19,592,4637,85916,116,13,41,1,16
93,5,751,4932,4,71,4,1,5
53,455,1,0,0,0,0,0,40
1,0,1,0,0,0,0,0,0
113,649,580,0,0,45,43,0,48
1,0,1,0,0,0,0,0,0
89,139,35,91,40,21,20,1,73
4,97,1,0,0,0,0,0,4
5,9,4841,764195,6,3,4,1,1
12,82,10,0,0,5,5,0,10
142,1185,1999,7561,188,83,82,1,112
49,125,1,0,0,0,0,0,39
180,1111,10,0,0,0,0,0,129
21,90,24,0,0,9,9,0,17
176,2000,1,0,0,0,0,0,170
2,0,1,0,0,0,0,0,0
96,54,3,0,0,0,0,0,4
75,407,87,290,32,19,23,1,73
122,46,5,0,0,0,0,0,31
37,0,1,0,0,0,0,0,0
2,0,80,0,0,0,0,0,0
154,1864,17,0,0,4,5,0,147
44,134,95,41,2,2,6,0,33
2,0,5,0,0,0,0,0,0
32,84,1748,8,0,9,8,0,18
178,380,15,0,0,13,12,0,66
3,0,1,0,0,0,0,0,0
181,1003,72,273,54,34,32,1,103
3,18,10,0,0,2,2,0,3
11,154,3,0,0,1,1,0,6
5,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,4,0,0,0,0,0,0
12,65,6,0,0,3,3,0,12
67,1999,1,0,0,0,0,0,60
1,0,2,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
669,109,8,0,0,0,0,0,17
2,18,1,0,0,0,0,0,1
42,656,2,0,0,0,0,0,29
5,89,2,0,0,0,0,0,3
6,0,1,0,0,0,0,0,0
12,162,2,0,0,0,0,0,7
93,332,7,0,0,1,1,0,65
2,1,1,0,0,0,0,0,0
1,0,16,78,0,0,0,0,0
51,511,1,0,0,0,1,0,46
1,0,1,0,0,0,0,0,0
50,172,2,0,0,0,0,0,22
27,264,84,0,0,3,5,0,25
80,0,3,0,0,1,0,0,0
134,584,5,0,0,0,0,0,100
182,683,36,0,0,10,3,0,101
336,972,1,0,0,0,0,0,272
18,113,1,0,0,0,0,0,5
154,554,1,0,0,1,1,0,126
13,15,14,26,6,3,3,1,7
14,42,1,0,0,0,0,0,8
3,0,5,0,0,0,0,0,0
1,133,1,0,0,0,0,0,1
9,59,30,0,0,0,0,0,6
1,0,1,0,0,0,0,0,0
95,339,3,0,0,0,0,0,91
18,142,11,0,0,2,1,0,9
1,0,1,0,0,0,0,0,0
17,180,64,0,0,2,2,0,14
50,330,144,3915,13,7,9,1,41
190,7539,1,0,0,0,0,0,144
1,0,110,0,0,0,0,0,0
451,530,95,568,16,33,8,1,111
1,0,3,0,0,1,0,0,0
15,74,2,0,0,0,0,0,15
5,19,147,813,5,3,3,1,4
83,1943,41,0,0,12,19,0,72
13,160,611,933,3,2,3,0,4
55,304,52,0,0,4,3,0,37
5,0,1,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0
10,86,152,1548,4,1,1,1,8
2,0,5,0,0,0,0,0,0
214,956,1,0,0,0,0,0,150
33,511,11,0,0,4,4,0,27
16,299,1,0,0,0,0,0,13
40,294,16,0,0,0,0,0,18
52,57,1637,59,11,24,16,0,28
35,110,15,0,0,0,0,0,23
89,24,407,46539,3,10,1,0,1
51,49,1,0,0,0,0,0,37
1,0,1,0,0,1,0,0,0
116,217,1,0,0,0,0,0,48
1,0,1,0,0,0,0,0,0
6,37,2,0,0,0,0,0,5
37,405,667,32,8,8,14,0,28
18,184,20,0,0,0,0,0,10
1,0,1,0,0,0,0,0,0
32,480,81,0,0,5,4,0,28
42,446,83,0,0,2,1,0,11
21,341,1,0,0,0,0,0,16
1,4,53,0,0,0,0,0,0
46,317,1,0,0,0,0,0,43
12,37,13,0,0,0,0,0,12
51,293,31,0,0,0,1,0,50
243,675,281,0,0,35,18,0,116
40,334,1,0,0,0,0,0,27
131,679,7,0,0,0,0,0,97
1035,996,1,0,0,0,0,0,142
2,0,1,0,0,0,0,0,0
3,35,1,0,0,0,0,0,3
5,0,2,0,0,0,0,0,0
2,13,2,0,0,0,0,0,2
19,77,1,0,0,0,0,0,7
2,21,3,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
8,154,1794,60,1,0,16,0,5
1,0,1,0,0,0,0,0,0
17,64,335,102,6,3,5,0,12
3,154,27,0,0,0,2,0,3
3,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
50,0,1,0,0,0,0,0,0
34,106,125,2422,14,1,0,1,12
2,76,1,0,0,0,0,0,1
115,1270,382,0,0,14,14,0,98
63,1921,16,88,1,0,0,0,51
18,302,8,0,0,2,1,0,12
357,15948,10,0,0,1,1,0,351
1,0,1,0,0,0,0,0,0
53,221,44,0,0,1,1,0,46
14,140,7,0,0,6,6,0,14
47,100,90,28,13,21,5,1,7
4,0,4,0,0,0,0,0,0
59,773,5,0,0,0,0,0,47
162,698,50,0,0,1,3,0,150
9,122,30,266,27,3,3,1,7
2,0,1,0,0,0,0,0,0
56,136,51,0,0,8,4,0,26
1,0,1,0,0,0,0,0,0
51,511,5,0,0,0,0,0,46
24,105,1412,1533,18,11,16,0,23
58,10,6,0,0,0,0,0,4
5,338,7,0,0,0,4,0,5
1,0,14,0,0,0,0,0,0
26,93,4,0,0,0,0,0,16
33,204,1,0,0,0,0,0,23
3,78,7,0,0,0,1,0,1
1,21,2,0,0,0,0,0,1
591,7719,256,582,82,84,85,1,570
35,325,25,0,0,1,1,0,23
33,8,2,0,0,1,0,0,4
36,793,5,0,0,0,0,0,35
3,399,3,0,0,0,0,0,2
43,1047,48,0,0,8,8,0,42
104,359,242,647,8,54,24,0,42
1,0,2,0,0,0,0,0,0
3,0,2,0,0,0,0,0,0
235,4892,8,0,0,4,4,0,195
38,0,2,0,0,0,0,0,0
4,0,12,0,0,0,0,0,0
9,38,2,0,0,0,0,0,9
30,38,99,8,5,17,14,0,15
44,118,23,113,36,16,14,1,36
1,0,10,0,0,0,0,0,0
9,38,1,0,0,0,0,0,9
533,8638,1,0,0,0,0,0,450
7,59,289,0,0,0,0,0,4
46,1545,1,0,0,0,0,0,44
46,0,1,0,0,0,0,0,0
6,58,2,0,0,0,0,0,1
4,10,426,10168,0,0,0,1,2
52,0,1,0,0,0,0,0,0
219,191,1,0,0,0,0,0,52
5,0,1,0,0,0,0,0,0
123,865,1,0,0,0,0,0,81
100,5222,3,0,0,0,0,0,98
130,303,38,0,0,18,16,0,48
150,631,798,316,79,85,100,0,113
786,10371,127,0,0,49,45,0,705
47,175,4,0,0,3,3,0,20
105,313,144,203,12,22,9,0,35
1,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0
282,28084,18,0,0,8,9,0,278
285,88,1,0,0,0,0,0,26
23,53,1,0,0,0,0,0,8
10,30,2,0,0,1,1,0,7
16,22,26,0,0,1,0,0,5
71,117,415,0,0,21,8,0,18
50,528,255,0,0,1,1,0,47
33,21,3,0,0,0,0,0,8
97,917,10,0,0,1,1,0,90
135,11,7,0,0,0,0,0,10
50,160,2,0,0,0,0,0,45
7,0,4,0,0,0,0,0,0
50,1931,51,0,0,0,0,0,48
2,0,8,0,0,0,0,0,0
17,277,3,0,0,0,0,0,8
152,40,552,321,9,47,2,1,4
1,0,1,0,0,0,0,0,0
10,57,3,0,0,1,0,0,7
1,0,37,0,0,0,0,0,0
4,0,6,0,0,0,0,0,0
168,687,383,0,0,59,58,0,147
88,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
3,91,1,0,0,0,0,0,1
3,125,1,0,0,0,0,0,2
66,181,10,0,0,4,4,0,48
83,3535,8,0,0,1,1,0,80
14,73,186,248,26,8,11,1,10
2,16,2,0,0,0,0,0,2
2,0,7,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
72,117,1,0,0,0,0,0,25
71,323,23,0,0,9,12,0,52
40,106,20,0,0,0,0,0,27
109,248,13,0,0,3,1,0,35
4,55,2358,187,3,0,6,0,2
43,128,7,0,0,0,0,0,18
1,0,1,0,0,0,0,0,0
71,104,1555,574,2,4,3,0,41
187,3430,162,0,0,13,17,0,163
160,1113,32,0,0,0,0,0,125
288,574,1,0,0,0,0,0,160
554,16258,1,0,0,1,1,0,443
4,90,1,0,0,0,0,0,3
3,0,1,0,0,0,0,0,0
33,555,8,0,0,0,0,0,24
1,0,12,0,0,0,0,0,0
31,486,11,0,0,2,2,0,25
18,180,13,0,0,4,3,0,16
21,56,55,1047,32,14,8,1,13
259,3705,1,0,0,0,0,0,241
100,1976,7,0,0,1,1,0,90
1,3,1,0,0,0,0,0,0
154,9156,17,0,0,7,7,0,150
206,724,1,0,0,0,0,0,115
60,0,1,0,0,1,0,0,0
1,1,365,33,0,0,0,1,1
11,11,1,0,0,0,0,0,3
36,261,12,0,0,3,2,0,12
15,417,3,0,0,0,0,0,14
214,2145,26,0,0,6,8,0,190
17,514,17,3,0,2,4,0,15
238,94,83,162,19,35,10,1,55
72,586,1,0,0,0,0,0,53
36,492,442,0,0,13,13,0,36
3,0,1,0,0,0,0,0,0
84,72,663,2366,27,29,14,0,11
185,0,3,0,0,0,0,0,0
96,31,32,0,0,8,0,0,8
4,0,1,0,0,0,0,0,0
8,72,9,0,0,1,0,0,2
164,958,1,0,0,0,0,0,149
44,232,2,0,0,0,0,0,20
4,0,1,0,0,0,0,0,0
69,342,69,0,0,9,7,0,40
1,0,14,0,0,0,0,0,0
24,128,1,0,0,0,0,0,17
6,87,3,0,0,0,0,0,4
11,65,29,0,0,0,1,0,9
18,75,7,0,0,2,3,0,17
22,39,33,65,18,10,11,1,21
442,237,51,0,0,12,5,0,103
27,359,30,0,0,8,6,0,14
20,187,2,0,0,0,1,0,12
277,1011,36,0,0,19,20,0,204
1,0,6,0,0,1,0,0,0
40,375,39,0,0,1,1,0,33
83,1320,8,0,0,0,0,0,70
1,0,1,0,0,0,0,0,0
68,100,24,0,0,3,1,0,19
241,4650,154,0,0,53,53,0,239
22,186,30,0,0,8,7,0,17
28,85,28,0,0,15,12,0,18
50,1271,64,0,0,0,0,0,22
243,895,15,0,0,8,8,0,133
25,202,11,0,0,6,4,0,19
61,1954,111,0,0,2,4,0,57
18,174,6,0,0,1,1,0,11
2,0,4,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0
238,1998,5,0,0,1,1,0,227
39,1740,127,0,0,11,14,0,38
5,0,5,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,4,0,0,0,0,0,0
134,894,493,2435,74,41,50,1,115
80,3797,40,0,0,28,32,0,75
50,48,10,0,0,1,1,0,15
30,0,1,0,0,0,0,0,0
45,172,31,216,90,16,8,1,21
45,336,2,0,0,0,0,0,44
18,51,1,0,0,0,0,0,12
1,0,1,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0
20,470,54,0,0,1,1,0,18
17,21,895,297,8,7,12,0,6
18,25,13,0,0,0,0,0,12
85,122,2084,14576,29,28,30,1,78
2,0,1,0,0,1,0,0,0
91,210,2,0,0,0,0,0,8
585,2539,23,0,0,10,6,0,172
97,1654,65,0,0,5,5,0,96
70,2167,1,0,0,0,0,0,61
1,0,3,0,0,0,0,0,0
1,0,48,0,0,0,0,0,0
40,340,105,0,0,7,7,0,40
19,775,204,0,0,2,1,0,11
75,6386,4,0,0,1,1,0,69
105,1918,11,0,0,2,3,0,95
1,0,1,0,0,0,0,0,0
30,75,116,319,13,11,10,1,21
4,0,8,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0
13,64,1,0,0,0,0,0,6
43,520,7,0,0,0,0,0,34
5,76,1,0,0,0,0,0,3
1,0,1,0,0,0,0,0,0
948,16043,3,0,0,0,2,0,840
150,165,7,0,0,2,1,0,34
7,121,14,0,0,0,0,0,3
36,240,563,98,14,5,20,0,21
1,0,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0
13,23,9,0,0,4,2,0,5
5,31,3,10,4,2,2,1,4
108,364,1,0,0,0,0,0,105
67,79,7,0,0,0,0,0,14
21,572,6,0,0,0,0,0,20
12,0,2,0,0,2,0,0,0
2,158,1278,0,0,0,4,0,1
17,158,3,0,0,1,1,0,12
3,6,3,0,0,0,0,0,2
62,332,7,0,0,2,2,0,47
7,163,1,0,0,0,0,0,2
131,2172,123,0,0,14,16,0,100
13,190,9,45,8,5,6,1,12
2,0,4,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
23,132,1,0,0,0,0,0,19
50,338,2,0,0,1,1,0,48
20,152,2,0,0,0,0,0,15
5,0,1,0,0,0,0,0,0
18,219,1,0,0,0,0,0,7
20,101,932,5655,15,6,15,1,18
28,301,1,0,0,0,0,0,13
27,53,173,0,0,0,1,0,16
3,75,27,0,0,0,9,0,2
52,815,1,0,0,0,1,0,35
12,89,15,0,0,0,0,0,8
1,0,1,0,0,1,0,0,0
38,15,225,409,12,31,9,1,9
955,641,77,0,0,18,6,0,94
52,934,13,0,0,1,0,0,49
1,131,6,0,0,0,0,0,1
6,18,96,78,13,5,12,0,5
566,112,2,0,0,0,0,0,47
14,78,2,0,0,0,0,0,5
2,0,5,0,0,0,0,0,0
2,73,2,0,0,0,0,0,1
19,1,24,0,0,4,0,0,0
45,257,14,0,0,5,3,0,19
2,0,2,0,0,1,0,0,0
1,0,3,0,0,0,0,0,0
31,69,1,0,0,0,0,0,22
33,0,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
24,251,2,0,0,0,0,0,19
1,30,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
16,295,6,0,0,1,1,0,15
2,1,1,0,0,0,0,0,1
172,95,6,0,0,0,2,0,8
112,268,13,0,0,0,0,0,47
1,0,1,0,0,1,0,0,0
8,44,4,0,0,0,0,0,6
9,0,2,0,0,0,0,0,0
1,0,16,0,0,0,0,0,0
73,272,14,0,0,11,12,0,50
192,1267,8,0,0,2,2,0,86
140,304,34,0,0,0,0,0,21
11,34,1,0,0,0,0,0,11
41,560,65,0,0,8,10,0,37
28,95,3,0,0,0,1,0,17
8,23,1035,996,10,5,4,0,4
1,0,1,0,0,0,0,0,0
204,267,101,0,0,27,17,0,76
7,87,1,0,0,0,0,0,3
214,1656,1,0,0,0,0,0,208
26,52,100,0,0,3,5,0,22
123,931,4,0,0,0,0,0,110
22,149,138,11317,6,0,0,1,17
1,0,1,0,0,0,0,0,0
5,10,1,0,0,0,0,0,0
12,88,25,0,0,0,0,0,8
71,132,9,0,0,1,0,0,17
14,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
223,1452,13,0,0,0,0,0,220
54,494,3,0,0,0,0,0,45
7,53,1,0,0,0,0,0,7
139,139,1,0,0,0,0,0,19
2,0,35,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
1,11,1,0,0,0,0,0,1
281,6787,188,0,0,53,49,0,258
23,48,25,0,0,2,1,0,21
15,0,45,0,0,0,0,0,0
7,85,2,0,0,0,0,0,6
42,138,568,138,8,0,4,0,30
38,443,3,0,0,0,1,0,35
1,0,2,0,0,0,0,0,0
363,289,115,0,0,19,7,0,65
5,12,43,88,3,3,3,0,5
12,29,351,547,17,7,9,0,7
7,96,1,0,0,0,0,0,7
148,861,2,0,0,2,2,0,117
1,0,1,0,0,0,0,0,0
8,21,2,0,0,0,0,0,2
192,894,13,0,0,8,8,0,135
110,150,15,0,0,9,7,0,57
622,117,1,0,0,0,0,0,18
8,134,12,0,0,1,2,0,5
14,51,319,25,1,7,7,0,9
1,0,9,0,0,0,0,0,0
37,201,23,0,0,4,3,0,18
7,192,334,0,0,1,6,0,3
14,14,1,0,0,0,0,0,6
1,1,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
32,715,1,0,0,0,0,0,32
1,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0
19,36,212,1030,6,6,4,1,10
15,155,2,0,0,0,0,0,12
48,231,53,0,0,9,8,0,44
2,3,236,197,1,0,1,1,2
2,0,1,0,0,0,0,0,0
6,29,15,0,0,0,0,0,5
44,97,1,0,0,0,0,0,31
148,412,309,0,0,22,14,0,86
1,0,2,0,0,1,0,0,0
81,528,1,0,0,0,0,0,31
5,45,2,0,0,0,0,0,5
136,4740,31,0,0,18,18,0,136
1,1,4,0,0,0,0,0,0
46,174,1,0,0,0,0,0,37
11,64,17,0,0,0,0,0,9
1,6,51,0,0,0,0,0,1
9,86,8,0,0,2,1,0,6
2,0,2,0,0,1,0,0,0
73,463,7,0,0,0,0,0,30
51,155,54,0,0,0,0,0,10
25,325,47,62,16,11,14,1,23
1,0,8,0,0,0,0,0,0
8,123,45,0,0,0,0,0,8
122,814,123,0,0,14,14,0,120
41,10,903,57,1,35,4,0,4
1,95,1,0,0,0,0,0,1
17,115,3,0,0,0,0,0,11
288,7637,39,0,0,15,15,0,254
3,17,15,0,0,2,2,0,2
42,471,1,0,0,0,0,0,41
227,731,45,310,2,2,1,0,88
87,145,20,0,0,9,9,0,78
7,0,3,0,0,0,0,0,0
1101,422106,1,0,0,0,0,0,412
106,404,9,0,0,0,0,0,55
1,0,2,0,0,0,0,0,0
